"GSM1570043";"GSM1570044";"GSM1570045";"GSM1570046";"GSM1570047";"GSM1570048";"GSM1570049";"GSM1570050";"GSM1570051";"GSM1570052";"GSM1570053";"GSM1570054"
"ABTB1";5.62699507;6.348365352;7.901685405;7.860164276;8.647823066;8.368813675;8.374508413;8.441260926;8.827207823;8.363569214;7.442921444;8.209056558
"ABTB2";7.775024826;7.82388087;7.263301049;7.360901574;7.4068786;7.376226647;6.997658439;6.951150675;7.408275345;7.678736844;6.666879687;7.243470579
"AC000111.3";3.773967536;3.984381989;3.752219001;3.667252547;3.763513748;3.610998817;3.650488051;3.575473813;3.749670947;3.624570191;3.660193184;3.739246957
"AC002059.10";4.485977854;4.251689675;4.816155386;5.171206911;4.838367695;5.046722592;4.880497033;4.841860155;4.627416219;4.765708679;4.54711681;4.813478394
"AC002064.5";3.624801262;3.743228184;3.528618336;3.578421259;3.555579411;3.601858712;3.639412369;3.566482996;3.573904096;3.776635603;3.582815538;3.452365274
"AC002310.12 /// AK056973";7.51379882;7.557003684;7.653711284;7.465982553;7.801748745;7.769258075;7.677872188;7.627886306;7.852781969;7.851486978;7.880813909;7.531392172
"AC002310.7 /// ZNF785";5.698635073;5.70300823;5.598348694;5.866085046;5.766120174;5.705272718;5.892796878;5.704445157;5.524440166;5.51778018;5.888414329;5.814206699
"AC003973.4";3.590024806;3.671300123;3.981826996;4.049571467;3.962656492;4.021196969;4.410969177;3.99334705;3.995953249;4.025610739;3.988597679;4.033786774
"AC003986.5 /// BC043576";5.591548408;5.624737538;5.372760019;5.64019745;5.282428017;5.352883902;5.435124611;5.307227216;5.28419881;5.352883902;5.338995632;5.34252507
"AC003989.4";6.190360453;6.304059678;6.209359859;6.122213244;5.823437306;6.346089845;6.308953959;6.110654079;6.233026455;5.805999411;6.569197144;6.118386544
"AC004158.3 /// AK055364";4.672680643;4.420866442;3.688589143;4.082510472;3.727803811;3.970953494;4.082510472;3.900576429;4.201348285;4.044881287;3.934918344;4.03450685
"AC004490.1 /// AX746733";8.503664398;8.521958785;7.610513769;7.488086323;7.03328143;7.160490819;7.769617402;7.693726936;7.558423185;6.687027692;7.494660617;7.785391009
"AC004538.3 /// BC040327";3.478630892;3.508663857;3.349942855;3.46390072;3.41577651;3.400519632;3.572310635;3.347410937;3.663165971;3.352308008;3.351756608;3.447258245
"AC004692.5";8.215175494;8.518804143;8.121795372;8.280170179;7.469985242;8.077016223;7.811626282;8.136074784;8.17511312;7.630797382;8.234955148;8.092052711
"AC004941.5";10.29624219;10.45136813;9.653344877;9.811700964;9.631726772;9.387492071;9.449113948;9.723806079;9.740567283;9.577654228;9.832766523;9.691053339
"AC004951.6 /// AX747182";8.625845983;8.654770446;9.214814458;9.268234578;8.731983195;9.668805184;9.437445141;8.851826014;9.178894967;8.997771079;9.650881893;8.805164135
"AC005162.4";5.567915544;5.070796169;5.603938917;5.696397232;5.765993056;5.152830774;6.402463916;5.26745008;5.339344251;5.243623968;5.710028465;6.3152059
"AC005224.2";4.535295564;4.196691595;4.08566194;4.016923117;4.23373514;4.597364816;4.124967222;4.261538272;4.99898045;4.221539132;4.658780419;4.190615722
"AC005256.1";5.364758571;5.485821145;5.061668413;5.199169006;4.932083076;4.998219458;5.38046299;5.22005989;5.066489845;5.064134885;5.133492989;5.208791228
"AC005306.3";7.641720983;7.871885178;7.559107868;7.935539231;7.569078868;7.74564665;7.808473449;7.512853304;7.965712676;7.73118032;7.792143958;7.633695285
"AC005498.3";4.504004811;4.662769017;4.845766438;4.957871944;4.886034105;4.831995882;4.86424773;4.901687706;4.644013309;5.222092435;5.083447242;4.998883703
"AC005523.2";9.64151752;9.594330403;9.266423508;9.219438211;8.671757733;8.585103569;9.002192293;9.215686132;8.971370544;8.551241082;9.080688783;9.202698258
"AC005523.3";5.977830274;6.378653623;5.870319584;5.974496322;5.704185966;5.654715986;6.03657398;5.754811664;6.044292214;5.875196575;5.808704785;5.916150635
"AC005537.2";3.616944831;3.744617343;3.504769351;3.845202787;3.651265616;4.14544876;3.735605636;3.597286165;3.878773759;3.708783971;3.752776927;3.589316824
"AC005592.3";4.034160767;3.740554429;3.079191579;3.254191951;3.495010658;3.099040163;3.118821022;3.099040163;3.046317851;3.276524379;3.133866105;3.093700474
"AC005606.14";8.601016503;8.616066212;7.475769124;7.762565524;7.487638028;7.178544111;7.514286161;7.873245677;7.422261548;6.716463756;7.186850476;7.74868539
"AC005754.7 /// BC016751";3.546487776;3.498418027;3.408325477;3.330904947;3.163534299;3.330383466;3.364126621;3.375299126;3.308164685;3.319954916;3.282438179;3.200393176
"AC005785.2";5.801569607;6.057791903;5.674306404;5.892356557;5.461818766;5.792861956;5.708435865;5.743557904;5.372777435;5.973852326;5.617922847;5.583807691
"AC005838.2";4.719647054;4.728099015;4.282745293;4.320165403;4.678391343;4.437152675;4.701095133;4.670353966;4.467851542;4.745413517;4.206163972;4.405994031
"AC006026.13";4.696165572;4.728811974;5.137605077;4.837420833;4.617438163;5.058704879;4.880003557;4.965000203;4.8129195;4.810654572;4.932236963;4.754053647
"AC006129.2";4.919235395;4.735832792;7.845748357;8.059375547;6.631973685;8.5448202;8.14864074;7.667080515;8.353832287;7.926584396;8.898240061;6.914614415
"AC006538.1";5.250139717;5.403081286;5.114930395;4.850325542;4.869303892;4.712463256;4.697002536;4.681570473;4.933196733;5.091659332;4.941761507;4.688870035
"AC007228.11 /// BX647249";4.910223021;4.728250568;4.820266723;5.01813139;5.165993962;5.246830351;5.132989098;5.171206911;4.800717154;5.076590693;5.210482244;5.125407241
"AC007255.8 /// BC038570";5.419236876;5.465033569;5.539660719;5.398623171;5.516255008;5.312881333;5.747471566;5.868238547;5.61377735;5.504162465;5.551309707;6.004430203
"AC007292.3";7.159076208;7.155664627;7.030194026;6.911647273;7.278798355;7.372748511;7.084845728;7.034138183;7.304660683;7.31812034;7.129764813;7.01951061
"AC007349.5";3.856342511;3.970030778;4.148861063;4.063627068;4.102783616;4.011387245;3.831160138;4.332524045;4.072990412;3.887909256;4.429205637;4.243919332
